Position,artists,track_name,Days,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams,viral_on_tiktok
155,doja cat,woman,489,26.0,7,0,864796,232370353,Да
181,billie eilish,happier than ever,459,30.0,3,(x12),1688659,207031225,Да
206,doja cat,streets,477,57.0,3,(x12),1024708,195884808,Да
213,the neighbourhood,daddy issues,705,0.0,50,0,359758,192551331,Да
244,surfaces,sunday best,412,0.0,13,0,751886,176430872,Да
251,the walters,i love you so,431,38.0,7,0,683985,174547021,Да
252,ed sheeran,bad habits,350,49.0,7,0,1259918,174488164,Да
264,lil nas x,panini,249,67.0,1,(x2),2147076,171512571,Да
273,doja cat,say so,308,51.0,2,(x1),1262821,165898476,Да
275,kali uchis,telepatía,395,44.0,3,(x8),1064644,164803198,Да
277,justin bieber,ghost,399,4.0,9,0,895735,163964781,Да
279,joji,glimpse of us,201,83.0,1,(x16),2474076,163315058,Да
282,kate bush,running up that hill (a deal with god),182,98.0,1,(x30),2430143,163034803,Да
286,drake,toosie slide,239,79.0,1,(x20),2670968,161667752,Да
290,lil nas x,thats what i want,358,23.0,2,(x1),1896424,160369392,Да
312,beach house,space song,549,0.0,55,0,434347,151348745,Да
316,don toliver,after party,400,0.0,11,0,768932,148828688,Да
317,lizzo,about damn time,243,51.0,3,(x1),1276164,148776441,Да
327,doja cat,ain't shit,356,39.0,4,0,1413486,145660715,Да
336,cardi b,up,247,76.0,2,(x4),1133283,143743718,Да
345,rae sremmurd,swang,393,0.0,21,0,680384,141632137,Да
353,doja cat,get into it (yuh),391,0.0,16,0,751498,138640495,Да
365,ski mask the slump god,faucet failure,415,0.0,25,0,671084,136293354,Да
372,bad bunny,efecto,236,16.0,9,0,1315548,134743830,Да
382,lil nas x,old town road,175,50.0,1,(x2),2450954,132031403,Да
386,dababy,vibez,285,2.0,4,0,1371845,129872425,Да
415,onerepublic,i ain't worried,206,36.0,6,0,847839,122488638,Да
431,måneskin,beggin',231,29.0,4,0,1100134,118922920,Да
458,d4vd,romantic homicide,149,48.0,2,(x1),1061087,112839982,Да
460,gayle,abcdefu,210,61.0,5,0,940468,112733991,Да
462,ynw melly,suicidal,216,19.0,6,0,1113095,111505967,Да
464,cj,whoopty,230,58.0,3,(x3),834077,111327394,Да
465,willow,wait a minute!,384,0.0,12,0,578328,111162304,Да
493,olivia rodrigo,"jealousy, jealousy",256,4.0,9,0,1994138,106842027,Да
496,ali gatie,it's you,297,0.0,15,0,791346,106473404,Да
517,$uicideboy$,"...and to those i love, thanks for sticking around",392,0.0,35,0,441747,101882235,Да
538,conan gray,maniac,382,0.0,66,0,400847,98117699,Да
554,nicki minaj,super freaky girl,137,66.0,2,(x12),1573025,96391022,Да
569,don toliver,no idea,246,0.0,17,0,723629,93790452,Да
587,"tyler, the creator",new magic wand,305,1.0,5,0,1537094,91144161,Да
597,jvke,golden hour,128,8.0,9,0,951092,89077530,Да
610,dove cameron,boyfriend,236,2.0,10,0,610722,86719217,Да
623,adele,send my love (to your new lover),267,0.0,13,0,621087,85569483,Да
625,brockhampton,sugar,224,0.0,21,0,768037,85393131,Да
693,megan thee stallion,thot shit,155,2.0,10,0,903858,75741224,Да
716,the rare occasions,notion,240,0.0,33,0,468246,73881354,Да
753,beyoncé,cuff it,152,2.0,6,0,1388259,70035649,Да
785,clairo,sofia,215,0.0,25,0,501578,67460841,Да
792,megan thee stallion,savage,147,22.0,8,0,876040,66785378,Да
805,chris brown,under the influence,142,0.0,21,0,641846,65353666,Да
847,24kgoldn,valentino,183,0.0,41,0,482635,61991694,Да
